"","baseMean","log2FoldChange.x","lfcSE.x","stat","pvalue.x","padj.x","log2FoldChange.y","lfcSE.y","pvalue.y","padj.y"
"Slc46a3",275.029336984689,1.05658322026932,0.120440515207197,8.77265609875256,1.74500362101681e-18,5.93537681500868e-17,1.03153034333463,0.12127466532392,1.74500362101681e-18,5.93537681500868e-17
"Ndrg1",893.207810748872,1.08484395028598,0.177547242847027,6.11017063903756,9.95246695194643e-10,1.35480924852364e-08,1.03383666384882,0.180823327208502,9.95246695194643e-10,1.35480924852364e-08
"Nr1d1",83.6184116317544,1.1587136686446,0.281267058398915,4.1196209582468,3.79496165629058e-05,0.000235212660484459,1.03449558664489,0.292627757045439,3.79496165629058e-05,0.000235212660484459
"Kcne3",172.969203482244,1.13720588748938,0.250703135581447,4.53606567325891,5.73133398047427e-06,4.18464065089776e-05,1.0380448189768,0.258717589345485,5.73133398047427e-06,4.18464065089776e-05
"Ecm1",1431.06149789907,1.06917728560495,0.128897006361037,8.29481859811557,1.08751031533154e-16,3.07417611885725e-15,1.04279637412653,0.130216154967458,1.08751031533154e-16,3.07417611885725e-15
"Klhl24",697.39892416645,1.08631571257836,0.161555435272239,6.72410501539487,1.76674981283181e-11,2.96054431253031e-10,1.04462187037891,0.164881014348532,1.76674981283181e-11,2.96054431253031e-10
"Ank",5208.24537753074,1.06418592812096,0.113431231211498,9.38177181676472,6.48732543078175e-21,2.58483877719815e-19,1.04481314078343,0.114127890054851,6.48732543078175e-21,2.58483877719815e-19
"X1600014C10Rik",450.685902388983,1.09278713754116,0.165354431510447,6.60875627921781,3.8756215281093e-11,6.30906949407261e-10,1.0473155584579,0.16787228122281,3.8756215281093e-11,6.30906949407261e-10
"Pdcd4",202.771875737587,1.07567386546587,0.134407845811523,8.00305859357543,1.21366152096232e-15,3.11506457046996e-14,1.04749809536577,0.135570301452146,1.21366152096232e-15,3.11506457046996e-14
"Fosl2",2143.007561211,1.06249056100839,0.0971103621408539,10.9410627000576,7.33352094658219e-28,4.7690684663499e-26,1.04760684799536,0.0977977978011091,7.33352094658219e-28,4.7690684663499e-26
"Trim34a",183.662717698029,1.21466739707415,0.322718461868088,3.76386088990052,0.000167309979966086,0.000896630042081273,1.04828234687629,0.343674827228364,0.000167309979966086,0.000896630042081273
"Mgst1",465.818997677283,1.12539525700994,0.20797979361359,5.41107978547584,6.26458509429393e-08,6.49808326599034e-07,1.05770155869178,0.212948139744528,6.26458509429393e-08,6.49808326599034e-07
"Cd101",106.332346590554,1.20088289000992,0.300958529009097,3.99019391131337,6.60192982852943e-05,0.000387562307193044,1.05986908260766,0.314950771440907,6.60192982852943e-05,0.000387562307193044
"Runx2",564.097156932557,1.08931631971388,0.133334678060319,8.169790001826,3.08926721416577e-16,8.39250926515035e-15,1.06076628851074,0.135044618708658,3.08926721416577e-16,8.39250926515035e-15
"Zbtb42",477.443198335615,1.10066338570202,0.163367972386194,6.73732659850916,1.6132728805526e-11,2.71787757366653e-10,1.06210251893181,0.165411351056257,1.6132728805526e-11,2.71787757366653e-10
"Gsdmd",2073.24619889129,1.09094271478079,0.135755258230622,8.03609914635856,9.27437096996097e-16,2.42001309862745e-14,1.06241921518,0.137017084219956,9.27437096996097e-16,2.42001309862745e-14
"Rffl",260.297529415442,1.10696700178089,0.168466505256274,6.57084326701593,5.00311014935578e-11,8.01967247567871e-10,1.06253613783144,0.171438244855962,5.00311014935578e-11,8.01967247567871e-10
"X4930523C07Rik",229.264540482739,1.08908658930564,0.129510069484015,8.4092811751604,4.12531094637332e-17,1.24763319729956e-15,1.06303917901088,0.130508238973502,4.12531094637332e-17,1.24763319729956e-15
"Pstpip2",1259.71460941458,1.08458490184748,0.106164861135274,10.2160440869933,1.6806000108256e-24,8.90008891808951e-23,1.06363054361041,0.106774793461856,1.6806000108256e-24,8.90008891808951e-23
"Gab1",104.832290789176,1.12566876739021,0.198250995796477,5.67799804922955,1.36280268717877e-08,1.57066451118281e-07,1.0648120228151,0.201865027162523,1.36280268717877e-08,1.57066451118281e-07
"Ccdc80",13.5531117899336,1.47838955052737,0.517758997969317,2.85536235261135,0.00429877523575865,0.0151173796536864,1.06676786089957,0.592713818631155,0.00429877523575865,0.0151173796536864
"Haao",228.59117902865,1.11017963277768,0.153972489782511,7.21024667683058,5.5850607569794e-13,1.13061447678788e-11,1.07046704489722,0.155738169538066,5.5850607569794e-13,1.13061447678788e-11
"Bin2",2526.51590577462,1.0873475360321,0.102998204599705,10.5569562135378,4.71709914605547e-26,2.84636112414145e-24,1.07222611032297,0.103598632842014,4.71709914605547e-26,2.84636112414145e-24
