"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sbno2",8.55135292573622e-49,0.420900587009012,0.742,0.557,1.37103841458329e-44,"Ly6C+ CM WT","Sbno2"
"Klf62",1.04599696488466e-48,0.262227606227018,0.919,0.842,1.67704693379958e-44,"Ly6C+ CM WT","Klf6"
"Hspa1a",1.32428595258208e-48,1.61346526142398,0.639,0.458,2.12322766777485e-44,"Ly6C+ CM WT","Hspa1a"
"Oas21",3.45065475008441e-48,0.436735613714339,0.323,0.169,5.53243476081033e-44,"Ly6C+ CM WT","Oas2"
"Dhfr",4.21921074439397e-48,0.27981254873151,0.1,0.02,6.76466058648684e-44,"Ly6C+ CM WT","Dhfr"
"Atp5h3",4.55923372338594e-48,0.36929596694434,0.857,0.754,7.30981942870468e-44,"Ly6C+ CM WT","Atp5h"
"Sdcbp1",4.59150034764194e-48,0.31037771233741,0.933,0.896,7.36155250737431e-44,"Ly6C+ CM WT","Sdcbp"
"Cox5a2",6.8770836533218e-48,0.325970458966928,0.808,0.683,1.10260282213708e-43,"Ly6C+ CM WT","Cox5a"
"Katna1",7.93387440223131e-48,0.376790631627149,0.456,0.274,1.27203808290975e-43,"Ly6C+ CM WT","Katna1"
"Fbxo6",9.35043091783316e-48,0.285679810397302,0.316,0.154,1.49915458905619e-43,"Ly6C+ CM WT","Fbxo6"
"Psmd4",9.5015407917381e-48,0.376733491963973,0.63,0.475,1.52338203513937e-43,"Ly6C+ CM WT","Psmd4"
"Ptma1",1.04179481049472e-47,0.325036295293291,0.942,0.958,1.67030961966618e-43,"Ly6C+ CM WT","Ptma"
"Adam171",1.32055378969725e-47,0.515129156300054,0.732,0.582,2.1172438910216e-43,"Ly6C+ CM WT","Adam17"
"Gnl1",1.79607041289819e-47,0.32359609303716,0.348,0.175,2.87963969299967e-43,"Ly6C+ CM WT","Gnl1"
"Nrros",2.11441199402577e-47,0.481203379128126,0.865,0.777,3.39003675002151e-43,"Ly6C+ CM WT","Nrros"
"Tlr21",2.19866746245966e-47,0.43611268692591,0.61,0.414,3.52512354256158e-43,"Ly6C+ CM WT","Tlr2"
"Slc49a41",2.27388683893785e-47,0.415790166413199,0.667,0.476,3.64572276886906e-43,"Ly6C+ CM WT","Slc49a4"
"Ikbke",4.18882452149864e-47,0.389253272958154,0.301,0.149,6.71594235531877e-43,"Ly6C+ CM WT","Ikbke"
"Lars2",4.75572561552512e-47,0.825236638404311,0.8,0.642,7.62485487937142e-43,"Ly6C+ CM WT","Lars2"
"Ggct",5.70181441818405e-47,0.409454148522576,0.268,0.127,9.14171905667449e-43,"Ly6C+ CM WT","Ggct"
"Ncf2",8.43397466590585e-47,0.434906481647208,0.888,0.822,1.35221915818468e-42,"Ly6C+ CM WT","Ncf2"
"Ngdn",1.3631217838186e-46,0.316485893294435,0.466,0.288,2.18549315599635e-42,"Ly6C+ CM WT","Ngdn"
"Ccdc9",1.4858761990148e-46,0.301803795049129,0.35,0.18,2.38230530988042e-42,"Ly6C+ CM WT","Ccdc9"
"Rpl373",1.68134946045253e-46,0.325599202746165,0.949,0.943,2.69570758994354e-42,"Ly6C+ CM WT","Rpl37"
"Eepd11",2.07260297022416e-46,0.346759648789181,0.493,0.294,3.32300434216039e-42,"Ly6C+ CM WT","Eepd1"
"Zbtb17",6.39569699378699e-46,0.260059595427245,0.258,0.112,1.02542209901387e-41,"Ly6C+ CM WT","Zbtb17"
"Zmiz2",6.657245930028e-46,0.368282945505904,0.418,0.243,1.06735623996139e-41,"Ly6C+ CM WT","Zmiz2"
"Rara",7.45392432550634e-46,0.416219425115002,0.414,0.25,1.19508768710843e-41,"Ly6C+ CM WT","Rara"
"Pik3ap1",8.57186433372106e-46,0.30714675583163,0.877,0.678,1.3743270086255e-41,"Ly6C+ CM WT","Pik3ap1"
"Atad5",1.3996632686557e-45,0.294436039541892,0.152,0.047,2.24408011863569e-41,"Ly6C+ CM WT","Atad5"
"Oser1",4.04114914519046e-45,0.251469360091428,0.654,0.453,6.47917442448387e-41,"Ly6C+ CM WT","Oser1"
"CAAA01118383.1",5.1327528399563e-45,0.419225983721709,0.341,0.181,8.22934262830193e-41,"Ly6C+ CM WT","CAAA01118383.1"
"Pin4",5.68501339642057e-45,0.338928770667367,0.471,0.302,9.1147819784811e-41,"Ly6C+ CM WT","Pin4"
"Rnd1",1.29794445914638e-44,0.287743326111901,0.124,0.032,2.08099435134939e-40,"Ly6C+ CM WT","Rnd1"
"Etf1",1.6557021367969e-44,0.335657539702964,0.841,0.731,2.65458723592646e-40,"Ly6C+ CM WT","Etf1"
"Fam117b1",1.78362778138453e-44,0.470991548894851,0.686,0.538,2.85969042189381e-40,"Ly6C+ CM WT","Fam117b"
"Tinf2",1.91162565189838e-44,0.262393349015747,0.214,0.086,3.06490940768867e-40,"Ly6C+ CM WT","Tinf2"
