NAME	TITLE	SCORE	
Zfp456	na	0.98090917	
Fcgrt	na	0.9798842	
Mapre3	na	0.97693497	
Mxd3	na	0.9764575	
Kptn	na	0.9761296	
Col7a1	na	0.97610223	
Nfatc4	na	0.9759705	
Tcea2	na	0.97506416	
Cep78	na	0.974994	
E330009J07Rik	na	0.97274196	
Sh2d1b2	na	0.97187656	
Spn	na	0.97100633	
Lyst	na	0.9702402	
Sertad3	na	0.9689061	
P2ry10b	na	0.96865475	
Fbxl2	na	0.9669211	
Stk26	na	0.9667349	
Tmem43	na	0.96574247	
Slc44a2	na	0.9641434	
Fam129c	na	0.96153843	
Fam117a	na	0.9611554	
Zfp758	na	0.96020764	
Traf3ip3	na	0.9583215	
Fam189b	na	0.9578472	
Capn5	na	0.95673907	
Fam49b	na	0.95629156	
Cideb	na	0.95454544	
Rdm1	na	0.95433956	
Zfp688	na	0.9536785	
Ext1	na	0.9533898	
Cnr2	na	0.95311534	
Ifi27l2a	na	0.9528281	
Lca5	na	0.9509954	
Acp5	na	0.9509229	
Rnf38	na	0.9499273	
Susd4	na	0.9494898	
Tlr11	na	0.9466708	
Gsap	na	0.94612926	
Trim30c	na	0.9440389	
Nuak2	na	0.94337434	
Acrbp	na	0.9426284	
Nat8f1	na	0.9424599	
Gpr153	na	0.9412292	
Slc49a4	na	0.9408034	
Esr1	na	0.9393722	
Arrdc2	na	0.9384023	
Susd3	na	0.9383999	
Fcho2	na	0.9379514	
Shisa5	na	0.93794996	
Slc22a4	na	0.937458	
Psmb9	na	0.93732166	
Tfeb	na	0.9357097	
Orai2	na	0.93377376	
Adora2a	na	0.93353605	
Hps3	na	0.9330065	
Stk10	na	0.93292147	
Lrrc61	na	0.93192816	
X9930111J21Rik2	na	0.9317629	
Ubl3	na	0.9315589	
Slc8b1	na	0.931296	
Gas7	na	0.9311942	
Uvssa	na	0.92854846	
Nod2	na	0.9281028	
Heg1	na	0.92801565	
Ip6k3	na	0.9279634	
Trim12a	na	0.92758423	
Cbr2	na	0.9273621	
Xpc	na	0.9261465	
Lbh	na	0.9250743	
Igsf6	na	0.9244812	
Tmem86a	na	0.9237156	
Nemp2	na	0.9212069	
N4bp2l1	na	0.9206587	
Zfp652	na	0.9200628	
Treml1	na	0.91878873	
Tex15	na	0.91768223	
Nrm	na	0.91692626	
Llgl2	na	0.9168925	
Ugt1a6a	na	0.9166908	
Itgae	na	0.9155953	
Sipa1l3	na	0.9140916	
Igfbp6	na	0.9132096	
Celsr2	na	0.9130079	
Sfxn3	na	0.91294265	
