NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_244	Tanc2	na	13442	-1.3104617595672607	-0.4423769	Yes	
row_245	Sorbs3	na	13455	-1.3243545293807983	-0.43837172	Yes	
row_246	Olfr111	na	13466	-1.335295557975769	-0.43417904	Yes	
row_247	Tnf	na	13474	-1.3404122591018677	-0.42974684	Yes	
row_248	Cdk6	na	13481	-1.3476243019104004	-0.42521444	Yes	
row_249	Nceh1	na	13482	-1.3485608100891113	-0.4202373	Yes	
row_250	Spg20	na	13534	-1.4259040355682373	-0.41872582	Yes	
row_251	Map4k3	na	13535	-1.4261637926101685	-0.41346225	Yes	
row_252	Abca1	na	13540	-1.4392093420028687	-0.40844476	Yes	
row_253	Jade2	na	13547	-1.4522361755371094	-0.4035263	Yes	
row_254	Rhob	na	13571	-1.4791423082351685	-0.39975888	Yes	
row_255	Rapgef5	na	13592	-1.5155028104782104	-0.39563662	Yes	
row_256	Il7r	na	13610	-1.5759713649749756	-0.39107054	Yes	
row_257	Timp2	na	13626	-1.6037214994430542	-0.38625494	Yes	
row_258	Sash1	na	13630	-1.6174371242523193	-0.38050613	Yes	
row_259	Fmn1	na	13635	-1.624984860420227	-0.37480298	Yes	
row_260	Cd14	na	13652	-1.6543067693710327	-0.36987424	Yes	
row_261	Gmpr	na	13658	-1.6626619100570679	-0.36410558	Yes	
row_262	Dusp1	na	13668	-1.6731270551681519	-0.35859254	Yes	
row_263	Mrc1	na	13674	-1.6908992528915405	-0.35271966	Yes	
row_264	Serpinb6a	na	13681	-1.7178318500518799	-0.34682095	Yes	
row_265	Anpep	na	13684	-1.7219926118850708	-0.34061268	Yes	
row_266	Ets2	na	13702	-1.7684110403060913	-0.3353364	Yes	
row_267	Psd3	na	13705	-1.772081971168518	-0.32894325	Yes	
row_268	Stab1	na	13707	-1.776538372039795	-0.32246011	Yes	
row_269	Slc3a2	na	13713	-1.800365924835205	-0.31618324	Yes	
row_270	Sema4c	na	13719	-1.8181818723678589	-0.30984062	Yes	
row_271	Cpd	na	13721	-1.824798345565796	-0.30317938	Yes	
row_272	Dab2	na	13726	-1.8372583389282227	-0.2966928	Yes	
row_273	Bcar3	na	13743	-1.92617666721344	-0.29076067	Yes	
row_274	Myo1e	na	13748	-1.9672646522521973	-0.28379428	Yes	
row_275	Slc37a2	na	13750	-1.9730607271194458	-0.27658585	Yes	
row_276	Ctsl	na	13760	-2.021251916885376	-0.26978794	Yes	
row_277	Adgrg6	na	13764	-2.0535428524017334	-0.26242957	Yes	
row_278	Tmem37	na	13774	-2.0802981853485107	-0.25541377	Yes	
row_279	Jag1	na	13794	-2.1609442234039307	-0.24883582	Yes	
row_280	Cd63	na	13799	-2.2163069248199463	-0.24095029	Yes	
row_281	Plk2	na	13800	-2.216921329498291	-0.23276828	Yes	
row_282	C3ar1	na	13801	-2.2420504093170166	-0.22449353	Yes	
row_283	Igf1	na	13807	-2.2856459617614746	-0.21642563	Yes	
row_284	Ccr3	na	13820	-2.3466107845306396	-0.2086476	Yes	
